"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C2","10uF","C_0603_1608Metric","-8.600000","17.500000","180.000000","top"
"C4","10uF","C_0603_1608Metric","-11.600000","20.600000","90.000000","top"
"C5","1uF","C_0402_1005Metric","-11.600000","23.100000","-90.000000","top"
"C6","1uF","C_0402_1005Metric","2.000000","11.800000","-90.000000","top"
"C7","1uF","C_0402_1005Metric","-8.500000","10.100000","0.000000","top"
"C8","1uF","C_0402_1005Metric","-5.700000","10.000000","180.000000","top"
"C9","10uF","C_0603_1608Metric","-11.600000","17.300000","-90.000000","top"
"C11","10uF","C_0603_1608Metric","1.700000","17.000000","-90.000000","top"
"C12","10uF","C_0603_1608Metric","0.100000","17.000000","-90.000000","top"
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12","7.450000","12.900000","90.000000","top"
"R1","1k","R_0402_1005Metric","-3.800000","16.750000","0.000000","top"
"R2","1k","R_0402_1005Metric","-3.450000","15.700000","0.000000","top"
"R5","10k","R_0402_1005Metric","-9.770000","22.710000","0.000000","top"
"R6","10k","R_0402_1005Metric","-8.700000","3.500000","0.000000","top"
"R8","5.1k","R_0402_1005Metric","3.000000","11.000000","90.000000","top"
"R9","5.1k","R_0402_1005Metric","3.000000","15.300000","-90.000000","top"
"R10","470 Ohm","R_0402_1005Metric","0.900000","8.800000","-90.000000","top"
"R11","10k","R_0402_1005Metric","-1.600000","8.800000","90.000000","top"
"R12","470 Ohm","R_0402_1005Metric","-0.300000","8.800000","-90.000000","top"
"R13","10k","R_0402_1005Metric","-4.400000","12.209999","-90.000000","top"
"R14","10k","R_0402_1005Metric","-4.400000","14.200000","-90.000000","top"
"SW1","SW_SPST","SW_Push_1P1T_NO_CK_KMR2","7.200000","4.400000","-90.000000","top"
"SW2","SW_SPST","SW_Push_1P1T_NO_CK_KMR2","10.850000","4.400000","-90.000000","top"
"U2","STM32F042G6Ux","QFN-28_4x4mm_P0.5mm","-9.300000","6.937500","0.000000","top"
"U3","ME6211C33M5G-N","SOT-23-5","-8.800000","20.100000","90.000000","top"
"U4","STM32F042G6Ux","QFN-28_4x4mm_P0.5mm","-1.200000","12.497500","-90.000000","top"
"U5","ME6211C33M5G-N","SOT-23-5","2.262500","20.349999","90.000000","top"
"U6","74HC245","DHVQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x3mm","-4.712500","6.550000","-90.000000","top"
